,origin_lat,origin_lon,destination_lat,destination_lon,departure,departure_s,drone
0,52.382686002876355,9.73895036687991,52.327742134312416,9.65414246890594,00:01:55.72,115.72130466575946,Amzn
1,52.43118217305798,9.74078063029369,52.32544639322143,9.819575448736437,00:03:51.44,231.44260933151892,W178
2,52.433723795955,9.644027062411723,52.34634049995776,9.76622454940594,00:05:47.16,347.16391399727837,M600
3,52.307893630236606,9.723547321187986,52.34821706707359,9.74029132187189,00:07:42.88,462.88521866303785,W178
4,52.33648677032701,9.819814606088832,52.30320448638831,9.741203686616315,00:09:38.60,578.6065233287973,Amzn
5,52.30150828854815,9.735025969486953,52.3108516333775,9.811208958273712,00:11:34.32,694.3278279945567,Amzn
6,52.32269729690984,9.813753154178235,52.31860291855233,9.762103478697622,00:13:30.04,810.0491326603162,M600
7,52.379644289195895,9.72445351188231,52.40791416865679,9.771082264098784,00:15:25.77,925.7704373260757,M600
8,52.30905598976605,9.697839438809108,52.37662910012402,9.728438919591685,00:17:21.49,1041.4917419918352,M600
9,52.317275395375866,9.76848677943135,52.37396637098687,9.72859401357021,00:19:17.21,1157.2130466575945,W178
10,52.429164818966186,9.75562978265224,52.30663052893134,9.664809296847528,00:21:12.93,1272.9343513233541,W178
11,52.380656093215485,9.664018358455966,52.36647721344924,9.77304467531342,00:23:08.65,1388.6556559891135,Amzn
12,52.33364924385426,9.69250906725401,52.31164490175526,9.653577590238543,00:25:04.37,1504.376960654873,M600
13,52.33202126467082,9.7683907566162,52.390061546116115,9.757726097403431,00:27:00.09,1620.0982653206324,W178
14,52.38946824522416,9.692757575134703,52.36312049105463,9.710292110553826,00:28:55.81,1735.819569986392,M600
15,52.394091033595096,9.799483194668207,52.29989168146498,9.674680531889843,00:30:51.54,1851.5408746521514,Amzn
16,52.31396975452719,9.781844325619296,52.31965894937104,9.748762088014361,00:32:47.26,1967.2621793179107,M600
17,52.383865803109096,9.75661137833552,52.35986465233424,9.691235472067698,00:34:42.98,2082.9834839836703,M600
18,52.392420833856264,9.809056886624631,52.300067521055745,9.707882540303947,00:36:38.70,2198.7047886494297,W178
19,52.3818118008153,9.746543768074895,52.34163552037538,9.728217425064479,00:38:34.42,2314.426093315189,Amzn
20,52.39139959197677,9.752944610323715,52.399536596054695,9.711284234353792,00:40:30.14,2430.147397980949,Amzn
