;origin;destination;departure;drone
0;(9.735912555582248, 52.32419815255971);(9.666259118002928, 52.40583792006848);00:00:11.57;M600
1;(9.759544850584708, 52.426357050996984);(9.83036025210837, 52.38264295154134);00:00:23.14;M600
2;(9.661301283859673, 52.37638490297492);(9.720787110233994, 52.315580576472584);00:00:34.71;M600
3;(9.772635944708727, 52.3889942775751);(9.698927590332517, 52.32282693272041);00:00:46.28;M600
4;(9.73957730988714, 52.42941933711543);(9.76000714783933, 52.315215223910585);00:00:57.86;M600
5;(9.726779088457274, 52.401717494210246);(9.834664408382988, 52.32088572888594);00:01:09.43;M600
6;(9.78349922553649, 52.35091138085247);(9.731118212261979, 52.39407836464944);00:01:21.00;Amzn
7;(9.688256863407961, 52.39125609921364);(9.779973087468441, 52.4088393403942);00:01:32.57;M600
8;(9.663266430459858, 52.366231252411765);(9.692273200678361, 52.340641572554134);00:01:44.14;M600
9;(9.700548857179092, 52.33670960124436);(9.727590515881053, 52.41492795718349);00:01:55.72;Amzn
10;(9.715138783629033, 52.30790572140349);(9.821150853047534, 52.41007932875481);00:02:07.29;M600
11;(9.823015140155729, 52.40712743392007);(9.740174161372915, 52.425360401490465);00:02:18.86;W178
12;(9.741488599566956, 52.31949479025175);(9.751153671195759, 52.38713080660863);00:02:30.43;Amzn
13;(9.821393808980583, 52.41415682743822);(9.709051593187302, 52.42078784174379);00:02:42.00;M600
14;(9.79150080265442, 52.30073192107271);(9.79272993722271, 52.33914022351177);00:02:53.58;Amzn
15;(9.734030622545179, 52.32171144456568);(9.839826634629826, 52.40524024832083);00:03:05.15;W178
16;(9.833083612000307, 52.29822798110165);(9.764681520609034, 52.43037926564583);00:03:16.72;M600
17;(9.7095688587136, 52.32703275694457);(9.726591335559545, 52.4033107364199);00:03:28.29;W178
18;(9.70939049114345, 52.36376486906689);(9.69937095862889, 52.38680046886136);00:03:39.87;Amzn
19;(9.745607151054651, 52.33635173595145);(9.760697924232414, 52.39720078780158);00:03:51.44;M600
20;(9.778154338466248, 52.41861843265574);(9.820032714435301, 52.34546517283743);00:04:03.01;M600
21;(9.759712400622284, 52.370387725487795);(9.77513691132964, 52.33671504110787);00:04:14.58;M600
22;(9.680201014947798, 52.36977687817861);(9.687107428494233, 52.30191584807556);00:04:26.15;W178
23;(9.81971628958216, 52.35934885749718);(9.747915431464723, 52.35982272712723);00:04:37.73;M600
24;(9.766319077803152, 52.317749436994355);(9.697271069028966, 52.30727345893848);00:04:49.30;M600
25;(9.65973885651367, 52.34541398683747);(9.650868819061301, 52.40048066336981);00:05:00.87;Amzn
26;(9.704243777437824, 52.3514135717302);(9.700833045941375, 52.40550648152893);00:05:12.44;W178
27;(9.740866368219415, 52.307445477983656);(9.836176813705233, 52.31234293988445);00:05:24.01;M600
28;(9.841494616279885, 52.33373616982774);(9.734284975473921, 52.383254400831);00:05:35.59;W178
29;(9.817370895982625, 52.32304459973677);(9.73761146855556, 52.43378188290937);00:05:47.16;M600
30;(9.646687791702195, 52.428635777324395);(9.719218632446843, 52.31087595811173);00:05:58.73;M600
31;(9.704656720679413, 52.38308350814328);(9.829588086585881, 52.38983185819878);00:06:10.30;W178
